eventCategory,eventAction,eventLabel,totalEvents,eventValue
tweet,RT IWillRedPillU Senator Chuck Grassley RIA Fusion GPS Simpson LIED On Working Against Trump After Election ChuckGrassley DevinNun,DevinNun,1,0
tweet,RT InfamousP Gucci telling Jeezy to dig his dead homie upTI shooting Whats Up Whats Happening in Shawty Los projectsCamron sayin,InfamousP,1,0
tweet,RT IngrahamAngle Andy McCarthy is here next to tell us why he believes team Obama spied on the Trump campaign And more and more FBI agen,IngrahamAngle,8,0
tweet,RT ItsMeCathi BREAKING At least 4645 people died in Puerto Rico due to Hurricane Maria according to a new study from Harvard These,ItsMeCathi,1,0
tweet,RT JaclynCorin THIS IS DISGUSTING Valve Corporation of Bellevue is launching a video game on June 6th thats a school shooting simulator,JaclynCorin,2,0
tweet,RT JalilAdDinRehm2 Infidels think teleportation is not possiblebut our islamic scientist have invented a vest which can actually telepor,JalilAdDinRehm2,9,0
tweet,RT Jillibean557 Roseannes Producer Wanda Sykes Caught Calling Pres Trump An Orangutan httpstcoOQNyugDWWh via WayneDupreeShow,WayneDupreeShow,1,0
tweet,RT Joette56123293 RonWyden StageYaneu Money in Trumps pocket of course,StageYaneu,1,0
tweet,RT KoblerinPAK great idea during the heatwave its very important to provide birds with drinking water this is at our embassy everyon,KoblerinPAK,37,37
tweet,RT KrisParonto I remember it was before your generation started shooting up the schools David even though we still had guns Thank you,KrisParonto,1,0
tweet,RT LaurenWern Melanie did not attend the Memorial Day wreathing event at a military cemetery w Trump She hasnt been seen in public for,LaurenWern,1,0
tweet,RT Layogi Mexican President Sends Trump A Blunt Message About Paying For The Wall HuffPost httpstcoIU21CU9wBB,Layogi,1,0
tweet,RT LearnQuranonl,LearnQuranonl,3,0
tweet,RT MMFlint So therealroseanne woke up this morning amp posted hateful slanderous tweets about me Valerie Jarrett George Soros amp Chelsea,therealroseanne,1,0
tweet,RT MRevereUSA This is the REAL reason therealroseanne show got cancelled They were just waiting for a reason to remove a BIG platform,therealroseanne,4,0
tweet,RT MZHemingway To put the matter more succinctly We know why it is claimed that Halper was a spy we still do not know why it was claim,MZHemingway,4,0
tweet,RT MarkDice Roseanne head writer iamWandaSykes who quit the show today over her ape comment before it was canceled compared Presiden,iamWandaSykes,1,0
tweet,RT MarkSimoneNY Can Roseanne ever come back to network TV Alec Baldwin was able to after scandals involving racist comments antigay sl,MarkSimoneNY,1,0
tweet,RT NewDay While shes claiming that shes lost her job because of her Trump support the reality is she only received this job because,NewDay,1,0
tweet,RT OSDDigital Loving this heatwave in sligo right now lets make the most of it Heres Some pics from yesterday in rossespoint and ba,OSDDigital,4,8
tweet,RT RealJack Let me break this down very simply So liberals can try to comprehendObama amp Comey protected Hillary thinking shed win,RealJack,4,0
tweet,RT RealSaavedra New York Times reporter claims that Trump is infecting children httpstcoXHl4HIYwpg,RealSaavedra,1,0
tweet,RT RepMaxineWaters ConManDon is so quick to condemn athletes peacefully protesting police misconduct but Trump said nothing when Rosean,RepMaxineWaters,1,1
tweet,RT SandraTXAS Lying RyanCNNs April Ryan slammed for tweeting article about Trump running childtrafficking ring httpstco5fN4qu4,SandraTXAS,1,0
tweet,RT SebGorka TGowdySC failed catastrophically in bringing Hillary to book during the Benghazi hearings Now hes covering for a corrup,TGowdySC,4,0
tweet,RT Sujataraje2 AllahKabirRamzan,Sujataraje2,3,3
tweet,RT SulemanSharif82 Imran Khan you have made a joke of everything you are the enemy of the state and the system httpstcohKPIVoXRmr,SulemanSharif82,2,0
tweet,RT TheLadyMilana time to go shootinganyone up for a cashmeet in berlinFinDommes FemdomDaily OWKreal RT4fet FindomToday rtloser,rtloser,1,2
tweet,RT TheTrumpTrain Who plans on watching President Trumps rally in Nashville tonight,TheTrumpTrain,1,0
tweet,RT Thomas1774Paine Meet Valerie Jarrett One of Chicagos Biggest Slum Lords Profited from GhettoProperty Scheme Backed by State Senato,Thomas1774Paine,4,0
tweet,RT WellRegulated A member of our well regulated militia shoots a rifle at targets with his girlfriends 12 year old daughter he uninte,WellRegulated,1,0
tweet,RT ZaheerAhmed69 Heatwave heatstroke,ZaheerAhmed69,4,8
tweet,RT aarond DavidLMatthews ljbren Mabuckley88 Madeline I have a video of people yelling and fleeing the scene in a vehicle moments after,Mabuckley88,1,0
tweet,RT ahmedmasood12 Explore the 10 beautiful Ramzan traditions from around the world with the unique flavors of each countrymhabibha,countrymhabibha,3,9
tweet,RT ajmclean Such an amazing day of shooting I cannot wait to share this amazing footage with all of you June 5 at my party during CMA fe,ajmclean,1,0
tweet,RT bangtanitl BTS EpisodeBTS Euphoria Theme of Love Yourself Wonder ShootinghttpstcovvDSbZYePiBTStwt httpstcoPkU3uL,ShootinghttpstcovvDSbZYePiBTStwt,1,1
tweet,RT bbusa617 VALERIE JARRETT STANFORD YEARBOOK I Was Born Iranian Of My Islamic Faith I Seek To Help Change America To Be A More Islami,bbusa617,4,0
tweet,RT charliekirk11 This is the unbelievable mess Trump inherited from Obama National Debt 2009106 trillion 201720 trillion A,charliekirk11,4,0
tweet,RT equipedefrance Shooting photos pour les Bleus Clairefontaine httpstcoYkxe50vAPI,equipedefrance,2,2
tweet,RT gelles WaPo The number of migrant children held in US government custody without their parents has surged 21 percent in the past m,gelles,1,0
tweet,RT girlgroupzone OFFICIAL 180530 LOONA yyxy beautyampthebeat Jacket Shooting Behind more photos httpstcoawPEYzXJWe httpstc,girlgroupzone,1,0
tweet,RT globeandmail Belgium shooting rampage was terrorist act prosecutors say httpstcoRBUVaxKWiw httpstcoVJrrwSzEPf,globeandmail,1,0
tweet,RT letgobestill This is the mild stuff stay tunedMeet Valerie Jarrett One of Chicagos Biggest Slum Lords Profited from GhettoPr,letgobestill,4,0
tweet,RT mahwishzafar7 DunyaNews Imran Khan is a Donald Trump of Pakistan maturity and wisdom less person how to run Pakistan,DunyaNews,1,0
tweet,RT mckaycoppins Ive spent the past couple months working on this profile of Stephen Miller Donald Trumps top speechwriter immigration,mckaycoppins,1,0
tweet,RT rameshlaus Fakir Movie Premiere,rameshlaus,1,2
tweet,RT seokjinstapes The funniest and most fluffy boy love him so much Jin Cut Euphoria Theme of LOVE YOURSELF Wonder Shooting https,seokjinstapes,3,0
tweet,RT thehill Judge rules Trump broke law by defunding Teen Pregnancy Prevention Program orders funding to resume httpstcoEcg621Mbpq h,thehill,1,0
tweet,RT tonyarmbrust I now expect a rambling unhinged tweet from Trump on how ObamaHillarythe Dark WebInternational BankersBlack Lives,tonyarmbrust,4,0
tweet,RT yusufVI Obamas admin abused immigrants Pelosi is openly antichoice Schumer doesnt recognize Palestines right to exist Hillary,yusufVI,1,0
tweet,Retweet if you love the Indoors during Summer What would be your typical Summer weekend activity this Ramzan httpstcoZ1sEwednQb,JalilAdDinRehm2,3,12
