eventCategory,eventAction,eventLabel,totalEvents,eventValue
tweet,Roje sanga de friendsBaran neshta YarRamzan,JalilAdDinRehm2,3,3
tweet,School shooting game Active Shooter pulled by Steam httpstcoCrUox3bbo6,MaccaGlamTog,1,0
tweet,Send Special Gifts from Pakistan to your Overseas and Local relatives this Ramzan and show your Love for them httpstcoyOBi0nuCwA,JalilAdDinRehm2,3,0
tweet,Shooting in Georgia just took an American life POTUS please do something BackfireTrump httpstco3oJLz5R6wU,ARMYIndonesiaa,1,3
tweet,Shooting in Georgia just took an American life POTUS please do something BackfireTrump httpstcoGZobxNl0kJ,twinKammo,1,3
tweet,Sports News Trump promoting youth sports with event on South Lawn News HeadlineNews httpstcolfyRZiKLa8,mckaycoppins,1,4
tweet,This Kashmiri Chicken Curry Recipe will be an all time winner at any party httpstco4YZq2uxNM8 Ramzan Iftaar httpstcoQ4et885p8a,JalilAdDinRehm2,3,9
tweet,This is a test tweet #tw,@asad,1,1
tweet,This made my day! #FashionAtWork #lol #rofl #lmao #thingswomenwear https://t.co/l5JZxUUwqd,@mainedcm,1,5
tweet,WayneDupreeShow If they thought the Russians were meddling then they should have notified the Trump campaign and httpstcoGQO5xJPm8n,WayneDupreeShow,1,0
tweet,We applaud Trumps hard work even in states he carried bc he is prudentWe call him out too,JohnFugelsang,1,0
tweet,Zoninov JoeyCortese45 Yes Im shooting condoms onto people so they dont make mistakes,JoeyCortese45,1,0
tweet,aasiaishaque httpstcoswQBXqKXfi,aasiaishaque,5,0
tweet,brithume All these people I used to like revealing their true colors Hume is just another FoxTrump shill willing httpstcoqztIUowFxn,brithume,1,0
tweet,iamsrk Something to wake up Play it loud Big smile amp happy shooting Hope its going on as smoothly as it should httpstcoTJoYyAnmWI,iamsrk,1,0
tweet,jbuckenmeyer photospice kdevil66 JohnFugelsang Are you really defending trump and decrying insults at the same httpstcoierNYVBPZO,JohnFugelsang,1,0
tweet,letting kids bring guns to school is absolutely going to solve the problem of kids shooting up schools with guns,girlgroupzone,1,0
tweet,qbass187 rjc5273 gehrig38 PeighSmellis chetlee03 BetaSnowflake Another Obama apologist backing up the only pr httpstcogXBtckxhnP,BetaSnowflake,4,0
tweet,realdonaldtrump Fox News Anchor Demolishes Trumps Tweet As Not Based In Fact httpstco6vZ1ApgfEJ,realdonaldtrump,1,0
tweet,start,test,3,0
